race_no,declaration_events_id,horse_weight,color,venue_id,venueName,Race_No,Horse_No,trainer_id,jockey_id,declaration_distance,rating,season_id,Won_by,Timing,dist_win,closing_odds,allowence,dr_no,LF,withdraw,preRating,breederId,sireId,damId,complete_results_id,declaration_date,declaration_details_id,sireName,damName,event_name,horse_id,horseName,exName,sex,age,horse_rating,place,jockeyName,trainerName
Race1,155043,59,b,2,MUMBAI,155043,1,380,482,1400,56,359,,1:24.06,7 1/4,10,,2,A,0,58,86,1929,13711,41791,2024-03-31,1792025,MULTIDIMENSIONAL(IRE),Silken Star,The Western India Race Horse Owners' Association Trophy,62501,JULIUS,,g,3,58,5,Bhawani Singh,Karthik Ganapathy
Race1,155043,54.5,b,2,MUMBAI,155043,2,695,67,1400,51,359,1 1/2,1:23.40,3 1/4,9,,3,A,0,49,163,2173,14143,41791,2024-03-31,1792026,Planetaire(GB),Swan Maiden(USA),The Western India Race Horse Owners' Association Trophy,60824,LIAM,,g,4,49,2,Imran Chisty,Nazak Chenoy
Race1,155043,54.5,dkb,2,MUMBAI,155043,3,429,2332,1400,48,359,3/4,1:23.94,6 1/2,12,-5,5,A,0,49,62,2171,13639,41791,2024-03-31,1792027,Leitir Mor(IRE),ONE MAGIC MOMENT,The Western India Race Horse Owners' Association Trophy,57762,MAJESTIC WARRIOR,,g,7,49,4,S Saba,Narendra Lagad
Race1,155043,53.5,b,2,MUMBAI,155043,4,67,339,1400,47,359,,,0,,,,,2,45,86,1929,18078,41791,2024-03-31,1792028,MULTIDIMENSIONAL(IRE),Euqranian(USA),The Western India Race Horse Owners' Association Trophy,61324,PHENOM,,g,5,47,0,WITHDRAWN,M K Jadhav
Race1,155043,52,b,2,MUMBAI,155043,5,704,2303,1400,44,359,1 3/4,1:23.65,4 3/4,3 3/4,-1.5,4,A,0,44,123,1989,15255,41791,2024-03-31,1792029,Win Legend(JPN),INTEGRA,The Western India Race Horse Owners' Association Trophy,61688,WINTER AGENDA,,g,4,44,3,M S Deora,Adhiraj S Jodha
Race1,155043,50,b,2,MUMBAI,155043,6,324,2333,1400,52,359,3 1/4,1:22.90,0,2 1/2,-2.5,6,A,0,40,86,1929,16927,41791,2024-03-31,1792030,MULTIDIMENSIONAL(IRE),Botswana,The Western India Race Horse Owners' Association Trophy,62476,FONTANA,,f,4,40,1,N Bhosale,P Shroff
Race2,155044,59,b,2,MUMBAI,155044,1,684,2326,2000,60,359,3/4,2:02.56,4,12,-2.5,1,A,0,60,51,2174,17192,41792,2024-03-31,1792031,Tenth Star(IRE),Radical Attraction,The Trainers Trophy,56802,MURWARA PRINCESS,,m,5,60,3,Haridas Gore,Faisal A Abbas
Race2,155044,58.5,ch,2,MUMBAI,155044,2,380,482,2000,57,359,,2:04.00,13,15,,6,A,0,59,132,2159,17304,41792,2024-03-31,1792032,Saamidd(GB),Reina De Mexico(GB),The Trainers Trophy,59906,REGAL COMMAND,,g,5,59,7,Bhawani Singh,Karthik Ganapathy
Race2,155044,57.5,b,2,MUMBAI,155044,3,44,2042,2000,57,359,1,2:02.81,5 1/2,4 1/2,,3,A,0,57,163,2173,18166,41792,2024-03-31,1792033,Planetaire(GB),Shaktiroop,The Trainers Trophy,61845,DREAM ALLIANCE,,g,4,57,5,Akshay Kumar,Imtiaz A Sait
Race2,155044,56.5,dkb,2,MUMBAI,155044,4,738,2090,2000,54,359,6 1/2,2:02.97,6 1/2,14,,2,A,0,55,1166,896,14408,41792,2024-03-31,1792034,Royal Gladiator,MISS RISING,The Trainers Trophy,60260,ZARAK,,g,5,55,6,K Nazil,S Waheed
