Horse_No,Horse_Name,Jockey_Name,Trainer_Name,Total_Race_Participated,First_Place_Percentage,Second_Place_Percentage,Third_Place_Percentage,Fourth_Place_Percentage,Fifth_Place_Percentage,Sixth_Place_Percentage,Above_Sixth_Place_Percentage
1,ORALIE,Faizaan Khan,V S Parmar,118,12.71,10.17,11.86,9.32,16.1,10.17,29.66
2,EASTERN CROWN,P Kiran Rai,Mallikarjun,489,9.0,6.34,7.16,6.75,9.41,11.45,49.69
3,FARRELL,Muzammil Hashmi,Sarfaraz Khan,80,3.75,5.0,5.0,6.25,12.5,12.5,55.0
4,ATTENBOROUGH,Akash Rajput,Rajinder,265,15.09,17.74,18.11,13.21,12.45,7.55,15.85
5,MISS MARMALADE,Rajinder Saini,S Ali Khan,148,12.84,10.81,9.46,12.84,8.78,11.49,33.78
6,CLETUS,G S Shekhawat,Imdad Ali Khan,260,3.85,5.38,7.31,5.0,10.38,13.08,55.0
7,HEER,Shivam,R KUMAR,87,6.9,9.2,19.54,14.94,10.34,10.34,28.74
8,ASHWA YASHODHRA,M B Qureshi,S Nawab,154,12.34,13.64,10.39,8.44,15.58,12.34,27.27
9,IMMORTAL GUEST,Angad,Mallikarjun,706,10.62,8.64,8.78,11.9,8.92,9.77,41.36
10,FARGO,Riazuddin,H Ali Khan,127,1.57,5.51,3.94,6.3,11.81,10.24,60.63
11,KAFTAN,Arjun,H Ali Khan,214,14.95,11.21,14.95,17.76,14.49,7.01,19.63
12,SENOR,K Sunny Kumar,Ajay Sharma,152,2.63,9.21,10.53,7.24,11.18,9.21,50.0
